Speaker,Date,University,Abstract,Speaker Bio
Dr. Don Brown,10/9/2020,University of Virginia,"The new era of data science has provided the means to collect, process and analyze large and small sets of data from diverse sources to produce solutions to complex problems in a variety of applications. The data range from large document collections, to streaming sensor data, to images and videos. This presentation describes the era of data science and gives an overview to how to conduct data science to support of organizational objectives. We then provide examples of using data science to obtain signicant results in translational health research. ","Donald E. Brown is the Founding Director of the Data Science Institute at the University of Virginia, the Co-Director of the Integrated Translational Health Research Institute of Virginia (iTHRIV), and William Stanseld Calcott Professor of Systems and Information Engineering. Dr. Brown is a fellow of the IEEE and the recipient of the IEEE JosephWohl Career Achievement Award for his work in systems engineering and data fusion. He does research in predictive technology, data integration, machine learning and simulation optimization with applications to health science, security, and safety. "
Dr. Lucina Uddin,10/16/2020,University of Miami,"Decades of cognitive neuroimaging work has identified distinct patterns of brain activation that occur during performance of different tasks, as well as revealed patterns task-general activation and deactivation. These data can in principle be used to provide the basis for constructing biologically informed, data-driven taxonomies of psychological processes. This talk will highlight some of the progress and challenges associated with the construction of cognitive ontologies based on functional neuroimaging data. ","After receiving a Ph.D. in cognitive neuroscience from the psychology department at UCLA in 2006, Dr. Uddin completed a postdoctoral fellowship at the Child Study Center at NYU. For several years she worked as a faculty member in Psychiatry & Behavioral Science at the Stanford School of Medicine before joining the psychology department at the University of Miami in 2014. Her lab is broadly focused on investigating the relationship between brain connectivity and cognition in typical and atypical development. Within a cognitive neuroscience framework, this research combines functional and structural connectivity analyses to examine the organization of large-scale brain networks supporting high-level cognitive processes. Current projects focus on understanding dynamic network interactions underlying cognitive flexibility in neurodevelopmental disorders such as autism as well as characterizing network and individual variability across the lifespan.  "
Dr. David Van Essen,10/23/2020,Washington University in St. Louis,"David Van Essen is the Alumni Endowed Professor of Neurobiology at Washington University in St Louis. His laboratory uses collaboratively acquired neuroimaging and neuroanatomical data to study cortical structure, function, connectivity, development, and evolution in humans and nonhuman primates. A major emphasis is on developing and using methods for computerized brain mapping as well as neuroinformatics tools that facilitate data analysis and data sharing. ","Cerebral cortex is the dominant structure of the human brain and is largely responsible for what makes us unique as a species and as individuals. This lecture will discuss how recent advances in noninvasive imaging combined with invasive approaches in animal models are transforming our understanding of human brain structure, function, connectivity, evolution, and development. It will include an overview of basic principles of cortical organization and connectivity from studies of laboratory animals and analyses of individual variability in humans. It will highlight a new map (‘parcellation’) of human cerebral cortex based on data from the Human Connectome Project. Comparisons of cortical organization across species reveal valuable insights regarding what makes us uniquely human. "
Dr. Andrei Irimia,10/30/2020,University of Southern California,"Aging-related brain atrophy is associated with risk for cognitive impairment, functional decline, and dementia relative to lifestyle factors including diet, smoking and physical activity. Prevention studies indicate that brain atrophy is associated with vascular disease risk factors like high cholesterol, smoking, diabetes, and hypertension, which are widespread in modern, industrialized populations. Here we describe the Tsimané people of South America, a highly unique population who have a subsistence lifestyle paralleled by uniquely low cardiovascular disease (CVD) risk. The epidemiological relationships between brain atrophy, systemic inflammation and CVD risk are explored, particularly relative to longevity, cognitive decline and healthspan.  ","Andrei Irimia, PhD is Assistant Professor of Gerontology, Biomedical Engineering and Neuroscience at the University of Southern California. His laboratory in the Ethel Percy Andrus Gerontology Center uses brain imaging and computational techniques to study the relationship between aging trajectories, brain trauma and neurodegenerative disorders, including Alzheimer's disease and related dementias (ADRD). His focus includes the vascular dimension of neural degradation and cognitive decline, and in the interaction between cardiovascular health and brain atrophy. He is particularly interested in unique populations with atypical aging profiles, such as the Tsimane people of the Bolivian Amazon, who experience low rates of cardio- and neuro- vascular disease despite a high systemic burden of inflammation.  "
Dr. Tor Wager,11/6/2020,Dartmouth College,"Affective processes—pain and pleasure, desire and dread—are fundamental motivators of behavior and drivers of learning. How are they represented and organized in the brain? In this talk, I provide a picture of the new neuroscience of  human affect grounded in a multivariate predictive modeling approach. In the past years, neuroimaging has undergone a renaissance, combining machine learning with open sharing of data across laboratories. The multivariate predictive modeling approach uses machine learning to construct brain-based models of behavioral outcomes, clinical symptoms, and psychological states. Such models can have much larger effect sizes and be dramatically more reproducible and reliable than effects using traditional analysis approaches. They can also serve both predictive and explanatory goals, providing evidence on the brain features and systems that are necessary and sufficient to explain specific types of human feeling and behavior.   ","Tor Wager is the Diana L. Taylor Distinguished Professor in Neuroscience at Dartmouth College. He received his Ph.D. from the University of Michigan in Cognitive Psychology in 2003, and served as an Assistant (2004-2008) and Associate Professor (2009) at Columbia University, and as Associate (2010-2014) and Full Professor (2014-2019) at the University of Colorado, Boulder. Since 2004, he has directed the Cognitive and Affective Neuroscience laboratory, a research lab devoted to work on the neurophysiology of affective processes—pain, emotion, stress, and empathy—and how they are shaped by cognitive and social influences. Dr. Wager and his lab are also dedicated to developing analysis methods for functional neuroimaging and sharing ideas, tools, and scientific data with the scientific community and public. "
Dr. Jessica Turner,11/13/2020,Georgia State University,"The use of the Collaborative Informatics and Neuroimaging Suite Toolkit for Anonymized Computation (COINSTAC) platform in the Enhancing Neuroimaging Genetics through Meta-Analysis (ENIGMA) consortium combines the technological approach of decentralized, privacy-preserving analyses with the sociological approach of sharing data. I first present how ENIGMA and COINSTAC support neuroimaging data re-use and analysis, and then showcase their integration with a decentralized meta-analysis of sex differences in schizophrenia. This work highlights the improvements needed for true data access and re-use while protecting data restrictions, as well as future connections to other resources for improved access.   ","Jessica Turner is a Professor of Gerontology, Neuroscience, and Psychology at Georgia State University. She joined the GSU faculty in the fall of 2013 after several years at the Mind Research Network (MRN), Albuquerque, NM, and the University of California, Irvine. Dr. Turner's research program uses neuroimaging of psychiatric populations to improve understanding of the structural and functional circuitry underlying mental illness and health, and integrates several approaches: The combination of imaging with genetics, to identify genotypes which might help individualize treatment and prognosis; structural and functional imaging across multiple institutions to develop robust clinical neuroimaging studies; use of these neuroimaging methods in schizophrenia and other disorders to determine the relationship between brain volume and functional characteristics with disease status and symptom profiles; and large-scale neuroimaging data sharing to support the international collaborations needed to perform imaging genetics analyses. "
Dr. Rob Williams,11/20/2020,University of Tennessee,"Human disease is mainly due to complex interactions between genetic and environmental factors (GXE). We need to acquire the right ""smart"" data types—coherent and multiplicative data—required to make accurate predictions about risk and outcome for n = 1 individuals—a daunting task. We have developed large families of fully sequenced mice that mirror the genetic complexity of humans. We are using these Reference Populations to generate multiplicatively useful data and to build and test causal quantitative models of disease mechanisms with a special focus on diseases of aging, addiction, and neurological and psychiatric disease. ","Robert (Rob) W. Williams received a BA in neuroscience from UC Santa Cruz (1975) and a Ph.D. in system physiology at UC Davis with Leo M. Chalupa (1983). He did postdoctoral work in developmental neurobiology at Yale School of Medicine with Pasko Rakic where he developed novel stereological methods to estimate cell populations in brain. In 2013 Williams established the Department of Genetics, Genomics and Informatics at UTHSC. He holds the UT Oak Ridge National Laboratory Governor’s Chair in Computational Genomics. Williams is director of the Complex Trait Community (www.complextrait.org) and editor-in-chief of Frontiers in Neurogenomics. One of Williams’ more notable contributions is in the field of systems neurogenetics and experimental precision medicine. He and his research collaborators have built GeneNetwork (www.genenetwork.org), an online resource of data and analysis code that is used as a platform for experimental precision medicine. "
Dr. Russell Poldrack,12/4/2020,Stanford University,"Ensuring that the results of data analysis are both valid and reproducible is a fundamental responsibility of every data scientist, but both are increasingly difficult in the context of complex analysis workflows and big data. Building off of ideas from software engineering, I will argue that we need to embrace a culture of computational reproducibility. I will outline a set of values that motivate this work and principles that guide the work, and then focus on a set of practices that can help improve reproducibility in computational data science. I will conclude by addressing some potential concerns about the impacts of this cultural shift, particularly for early career researchers. ","Russell A. Poldrack is the Albert Ray Lang Professor in the Department of Psychology and Professor (by courtesy) of Computer Science at Stanford University, and Director of the Stanford Center for Reproducible Neuroscience. His research uses neuroimaging to understand the brain systems underlying decision making and executive function. His lab is also engaged in the development of neuroinformatics tools to help improve the reproducibility and transparency of neuroscience, including the Openneuro.org and Neurovault.org data sharing projects and the Cognitive Atlas ontology. "
Dr. Hongwei Dong,12/11/2020,"University of California, Los Angeles","The biological significance of assembling this global wiring diagram of the brain is tantamount to that of the Human Genome Project. However, just as knowing the sequence of three billion base pairs in the human genome reveals little about how our bodies are regulated by genes, constructing the connectome will not directly reveal its functional purpose. The ensuing challenge is to analyze the vast connectivity information in a way that is most conducive to generating new behavioral hypotheses for direct testing. Since behavior is a network phenomenon, it is important to analyze the data at the network level to propagate hypothesis- driven, functional analyses of neural systems, culminating in insights into the etiologies of and treatments for neurological disorders like Parkinson’s disease and autism. In his talk, Dr. Dong will present the progress of the NIH BRAIN Initiative funded Mouse Connectome Project in assembling global neural networks of the whole mouse brain. ","Dr. Hong-Wei Dong is a neuroanatomist and Professor in the Department of Neurobiology, David Geffen School of Medicine at UCLA. Sponsored by NIH BRAIN Initiative, his research focuses on constructing a multi-scale wiring diagram and cataloging cell types of the mouse brain. Previously, he was a founding neuroscientist of the Allen Institute for Brain Sciences, where he constructed the original Allen Reference Atlas (Dong, Wiley, 2008). Dr. Dong was the founder and director of the Mouse Connectome Project (www.MouseConnectome.org). "
Dr. Karen Johnston & Johanna Loomba,Postponed,University of Virginia (iTHRIV),,
