Speaker,Date,# of Innovation Lab (zoom) attendees,# Youtube live streamers,# of Youtube views (as of 5/10/2021),# of unique viewers in the first 90 days
Dr. Don Brown,10/9/2020,21,9,282,167
Dr. Lucina Uddin,10/16/2020,21,9,201,131
Dr. David Van Essen,10/23/2020,15,12,148,114
Dr. Andrei Irimia,10/30/2020,11,6,199,158
Dr. Tor Wager,11/6/2020,12,18,158,115
Dr. Jessica Turner,11/13/2020,17,16,200,179
Dr. Rob Williams,11/20/2020,17,12,387,295
Dr. Russell Poldrack,12/4/2020,16,37,225,214
Dr. Hongwei Dong,12/11/2020,12,8,158,70
Dr. Kevin Pelphrey,1/15/2021,12,7,98,52
Dr. Shafali Jeste,1/22/2021,12,N/A,73,24
Dr. Daniel Gardner,1/29/2021,11,6,57,47
Dr. Randy Gollub,2/5/2021,10,20,83,59
Dr. Maryann Martone,2/12/2021,10,13,112,105
Dr. Giselle Petzinger,2/19/2021,9,17,131,114
Dr. David Kennedy,2/26/2021,10,7,44,58
Dr. James Morris,3/5/2021,9,12,62,70
Dr. Ivo Dinov,3/19/2021,10,12,65,79
Dr. Vince Calhoun,3/26/2021,10,12,57,78
Dr. Chongzhi Zang,4/2/2021,5,20,78,84
Dr. Satrajit Ghosh,4/9/2021,7,10,50,58
Dr. Angela Laird,4/23/2021,9,11,53,63
Dr. Neda Jahanshad,4/30/2021,7,13,50,62
Dr. Aidong Zhang,5/7/2021,11,11,24,17
Dr. Giorgio Ascoli,5/14/2021,12,,,
