Speaker,Date,# of Innovation Lab (zoom) attendees,# Youtube live streamers,# of Youtube views (as of 2/22/2021),# of unique viewers in the first 90 days
Dr. Don Brown,10/9/2020,21,9,215,167
Dr. Lucina Uddin,10/16/2020,21,9,162,131
Dr. David Van Essen,10/23/2020,15,12,130,114
Dr. Andrei Irimia,10/30/2020,11,6,168,158
Dr. Tor Wager,11/6/2020,12,18,125,115
Dr. Jessica Turner,11/13/2020,17,16,180,179
Dr. Rob Williams,11/20/2020,17,12,306,295
Dr. Russell Poldrack,12/4/2020,16,37,182,214
Dr. Hongwei Dong,12/11/2020,12,8,88,70
Dr. Kevin Pelphrey,1/15/2021,12,7,47,52
Dr. Shafali Jeste,1/22/2021,12,N/A,41,24
Dr. Daniel Gardner,1/29/2021,11,6,40,47
Dr. Randy Gollub,2/5/2021,10,20,35,59
Dr. Maryann Martone,2/12/2021,10,13,36,51
Dr. Giselle Petzinger,2/19/2021,9,17,41,61
