Speaker,# Youtube live streamers,# of Total Youtube views,Total Watch Time,Average Percentage Viewed,# of Opens,# of Clicks,% Strongly Agree,Strongly Agree LF,Somewhat agree LF,Neither agree nor disagree LF,Somewhat disagree LF,Strongly disagree LF,Strongly Agree SSC,Somewhat agree SSC,Neither agree nor disagree SSC,Somewhat disagree SSC,Strongly disagree SSC,Strongly Agree VI,Somewhat agree VI,Neither agree nor disagree VI,Somewhat disagree VI,Strongly disagree VI,Strongly Agree RL,Somewhat agree RL,Neither agree nor disagree RL,Somewhat disagree RL,Strongly disagree RL,Strongly Agree QA,Somewhat agree QA,Neither agree nor disagree QA,Somewhat disagree QA,Strongly disagree QA,Sum Votes
Dr. Susan Gregurick,26,501,40.2,8.00%,163,9,73%,3,0,0,0,0,1,1,1,0,0,2,1,0,0,0,3,0,0,0,0,2,1,0,0,0,15
Dr. Roxana Daneshjou,18,"3,512",464.4,13.20%,168,12,70%,3,1,0,0,0,2,1,1,0,0,3,1,0,0,0,3,1,0,0,0,3,1,0,0,0,20
Dr. Qing Zeng,12,493,64.7,13.10%,164,17,65%,3,1,0,0,0,1,1,2,0,0,3,1,0,0,0,4,0,0,0,0,2,2,0,0,0,20
Dr. Anna Baglione,18,"3,202",419.1,13.00%,160,11,60%,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,10
Dr. Amy Yeboah Quarkume,6,118,14.5,12.20%,164,9,60%,2,1,0,0,0,1,0,2,0,0,2,1,0,0,0,2,1,0,0,0,2,0,1,0,0,15
Dr. Adam Yala,14,286,31.4,11.00%,183,15,60%,3,1,0,0,0,2,1,1,0,0,2,2,0,0,0,2,2,0,0,0,3,1,0,0,0,20
Dr. Brian Wright,9,683,51.1,7.40%,174,12,55%,2,2,0,0,0,2,1,1,0,0,2,2,0,0,0,2,2,0,0,0,3,1,0,0,0,20
Dr. Melissa Haendel,12,137,12.8,9.30%,157,8,55%,3,1,0,0,0,1,1,2,0,0,2,2,0,0,0,3,1,0,0,0,2,2,0,0,0,20
Dr. Prince Afriyie,26,299,31.1,10.00%,207,28,53%,2,1,0,0,0,0,1,2,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,15
Dr. Besa Bauta,5,273,53.8,19.70%,171,6,53%,2,1,0,0,0,0,1,2,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,15
Dr. Rafael Alvarado,13,286,25.2,8.80%,147,6,50%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,10
Dr. James Zou,12,"1,293",143.8,11.10%,147,8,50%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,10
Julia McAuley,9,372,25.9,6.90%,161,12,40%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,10
Dr. Chiara Sabatti,3,159,5.7,3.50%,160,9,40%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,10
Dr. Don Brown,9,105,7.2,6.80%,165,6,40%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,10
Dr. Daniel Katz,5,105,9.9,9.40%,153,10,40%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,10
Dr. Steven Boker,7,223,21.1,9.40%,145,2,40%,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,10
Dr. Hudson Golino,16,313,23.7,7.60%,171,10,40%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,10
Dr. Stephen Baek,4,194,18.7,9.60%,168,6,30%,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,10
